# Experimental data from Bicerano_1996; calculated data from Azfal_2021 using Molecular Dynamics; https://dx.doi.org/10.1021/acsapm.0c00524,,,
SMILES,Experiment Tg (K),Calculated Tg (K),Calculated Tg St.Dev. (K)
[*]O[Si](CC)(CC)[*],130,138,3.8
[*][Si](C)(C)O[*],152,193.3,51.1
[*]C/C=C\C[*],171,211.7,3.1
[*][Si](C)(C)C[*],173,258.7,4.7
[*][Si](C)(C1=CC=CC=C1)O[*],187,286.9,5.8
[*]OC(COCCCCCC)C[*],188,229,5.1
[*]OCCCC[*],190,238,5.1
[*][Si](C)(C)N[*],191,267.2,5.7
[*]CC(CCCC)=CC[*],192,232.6,9.7
[*]CC(OCCCCCCCC)[*],194,221.1,5.3
[*]OC(COCCCC)C[*],194,233.8,4
[*]CC[*],195,237.1,3.2
[*]CCCO[*],195,245.8,6.1
[*]CC(CCC)=CC[*],196,240.6,4.5
[*]CC(CC)=CC[*],197,220.7,7.1
[*]CC(OCCCCCCCCCC)[*],197,251.2,9
[*]CC(C)(C)[*],199,198.6,37.7
[*][Si](C)(CCC(F)(F)F)O[*],199,396.1,11.5
[*][Si](C)(C)CCC[*],203,240,7.6
[*]CC=C(C)C[*],203,236.1,6.2
[*]CCCCCCCCO[*],203,276.5,5.3
[*]CCCCCCO[*],204,234.9,3.9
[*]CCCCOC(=O)CCCCC(=O)O[*],205,249.2,5
[*]CC(C)O[*],206,260.3,3.4
[*]OCC[*],206,274,6.7
[*]CC(OCC(CC)CCCC)[*],207,227.8,10.5
[*]CC(OCCCCC)[*],207,240,30.3
[*]CC(C(=O)OCCCCCCCC)[*],208,221.9,6
[*]CC(OCCCCCC)[*],209,224.9,8.8
[*]OC(COC)C[*],211,277.7,6.7
[*]C(C=CC)C[*],213,316,15.4
[*]CC(C(=O)OCCCCCCC)[*],213,227.2,7
[*]OCCCCCC(=O)[*],213,248.7,4.4
[*]CC(C(=O)OCCCCCCCCC)[*],215,221.4,6.4
[*]CC(C(=O)OCCCCCC)[*],216,231.8,6.8
[*]CCCCCCCCCCOC(=O)CCCCC(=O)O[*],217,240.2,4.9
[*]CC(C)(C(=O)OCCCCCCCCCCCC)[*],218,255.1,7.3
[*]OC[*],218,238.4,7.3
[*]CC(C(=O)OCCCC)[*],219,235,8.7
[*]CC(CCCCC)[*],220,234.9,6.9
[*]CCC(C)CCC(=O)O[*],220,265,5.8
[*]CC(C(C)C)=CC[*],221,242.7,9.4
[*]CC(OCCCC)[*],221,278.4,7.8
[*]CC(CCC)[*],223,260.4,14.2
[*]CC(CCCC)[*],223,291.4,15.5
[*]CC=C(Cl)C[*],225,293.7,5.3
[*]SC(C)C[*],226,321,3.4
[*]CC(CC)[*],228,295.4,10.8
[*]CC(C(=O)OC(C)CCCCCC)[*],228,256.1,3.4
[*]CCOC(=O)CCCCCCCC(=O)O[*],228,241.1,14
[*]CC(C(=O)OCCC)[*],229,243.1,6
[*]CC(C)[*],233,318.1,6.8
[*]CCOC(=O)CCCCC(=O)O[*],233,362.9,9.8
[*]CC(F)(F)[*],233,263.2,2.6
[*]CC(C(=O)OC(C)CCCCC)[*],235,248,9.4
[*]CC(CCCC(C)C)[*],239,262.5,15.9
[*]CC(Br)=CC[*],241,301.3,7.5
[*][Si](C)(C1=CC=CC=C1)CCC[*],243,254.7,1.8
[*]CCOC(=O)CCCCCCCCC(=O)O[*],243,290.7,6.7
[*]CC(C(=O)OCC(C)C)[*],249,268.9,5.5
[*]CC(OCC(C)C)[*],251,277.7,6.9
[*]CC(C(=O)OCC)[*],251,301.4,9.6
C(C)(CC)OC(C[*])[*],253,252.1,9
[*]CC(C)(C(=O)OCCCCCCCC)[*],253,272.5,10.3
[*]CC(C(=O)OC(C)CC)[*],253,270.1,11.1
[*]CC(OCC)[*],254,320.9,9.2
[*]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(=NC(C(F)(F)C(F)(F)OC(F)(F)F)=NC([*])=N1),255,345.4,9.7
[*]CC(Cl)(Cl)[*],256,473.3,26.5
[*]CC(C(=O)OC(CC)CC)[*],257,263.3,8
[*]CC(CCC(C)C)[*],259,283.6,9.9
[*]C(F)(C(F)(F)F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C1(=NC(C(F)(F)F)=NC([*])=N1),260,364,6.5
[*]CC(CCl)(CCl)CO[*],265,408.5,12.2
[*][Si](C)(C1=CC=C(N(C)C)C=C1)CCC[*],267,339.6,10.7
[*]CC(C)(C(=O)OCCCCCC)[*],268,259.4,12.3
[*]CC(C=C)[*],269,286.5,9.2
[*]CC(OC(C)C)[*],270,307.7,15.7
[*]CC(SC)[*],272,288.1,6.3
[*]OCCOC(=O)CCC(=O)[*],272,355.3,8.3
[*]O[Si](C1=CC=CC=C1)(C1=CC=CC=C1)O[Si](C)(C)C1=CC=C(C=C1)[Si](C)(C)[*],273,322.8,5.6
[*]CC(C1=CC=C(COCCCCCC)C=C1)[*],278,313.2,26
[*]CC(OC(=O)CCC)[*],278,288,12.6
[*]CC(C1=CC=C(CCCC)C=C1)[*],279,281.5,33
[*]CC(C(=O)OC)[*],281,360.8,11
[*]CC(OC(=O)CC)[*],283,328.6,14.3
[*]CC(C)(C(=O)OCC(CC)CC)[*],284,294.4,17.3
[*]CC(C1=C(OCCCCCCCC)C=CC=C1)[*],286,292.8,20.6
[*]CC(C(C)(C)C)=CC[*],293,369.3,11.6
[*]CC(C)(C(=O)OCCCC)[*],293,296,20.3
[*]CC(C)(C(=O)OCCOC)[*],293,334.8,16
[*]CC(C1=CC=C(COCCC)C=C1)[*],295,323.8,23.4
[*]CC1=CC=C(C(CC)=C1)C[*],298,371.9,16.4
[*]CC(C(F)(F)F)[*],300,365.3,8.3
[*]CC(OC(=O)C)[*],301,406.3,12.7
[*]CC(CC(C)C)[*],302,330,10.7
[*]CC(OC(=O))[*],304,388.5,8.1
[*]CC(OC(=O)CCl)[*],304,361.7,18.1
[*]CC(C)(C(=O)OCC(C)(C)C)[*],306,507.6,12.2
[*]CC(C)(C(=O)OCCC)[*],308,336.1,32.7
[*]NCCCCCCCCCCCC(=O)[*],310,285.2,12.6
[*][Si](C1=CC=C(C)C=C1)(C1=CC=C(C)C=C1)CCC[*],311,383,8.1
[*]CC(CCC1CCCCC1)[*],313,301.1,8.5
[*]NCCCCCCNC(=O)CCCCCCCCC(=O)[*],313,318.8,16.1
[*]CC(C(F)(F)C(F)(F)F)[*],314,367.2,10.1
[*]NCCCCCCCCCCC(=O)[*],315,304.7,12.3
[*]CC(C(=O)OC(C)(C)C)[*],315,378.4,14.5
[*]OC(COC1=CC=CC=C1)C[*],315,329.6,5.3
[*]CC(F)(C(F)(F)F)[*],315,410.1,8.1
[*]C(=O)CCCCCCCCCN[*],316,302,15.5
[*]CC(C)(C(=O)OCCC(C)(C)C)[*],318,359.8,5.6
[*]C1=CC(=CC=C1)O[*],318,391,21.9
[*]NCCCCCCCCCCNC(=O)CCCCCCCCC(=O)[*],319,302,15.6
[*]CC(C(=O)NCCCC)[*],319,297.3,38.8
[*]CC(OC(=O)C(F)(F)F)[*],319,407,10
[*]CC(C1=CC=C(C=C1)OCCCC)[*],320,267.5,10.4
[*]CC(C)(C(=O)OCC(C)C)[*],321,375.2,27.9
[*]CC(C(C)C)[*],323,376.6,9.5
[*]C(=O)CCCCCCCCN[*],324,309.7,13.6
CCCC1OC([*])CC(C[*])O1,324,316.4,12.9
[*]NCCCCCCCC(=O)[*],324,336.2,9.8
[*]CC(C)(C(=O)OCC)[*],324,420.3,9.6
C(=O)(O[*])C1=CC=CC(=C1)C(=O)OCC[*],324,422.2,14.9
[*][Si](C1=CC=CC=C1)(C1=CC=C(N(C)C)C=C1)CCC[*],325,385.1,6.8
[*]CC(C)(C(=O)OC(C)C)[*],327,455.4,18.8
[*]CC1=CC=C(C(C)=C1)C[*],328,407.6,9.5
[*]CC(C(=O)C(C)C)[*],329,355.6,22.2
[*]CC(C1=CC=C(C=C1)OCCC(C)C)[*],330,311,17.6
[*]CC(C)(C(=O)OC(C)CC)[*],330,324.1,12.7
[*]C(=O)CCCCCCN[*],330,428.7,32
[*]C(=O)CCCCC(=O)NCCCCCCN[*],330,322.9,5.5
[*]C(Cl)(C(=O)OCCCC)C[*],330,299.3,16.8
[*]O[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC(=CC=C1)[*],331,413.2,16.4
[*]CC(C(F)(F)C(F)(F)C(F)(F)F)[*],331,427.9,8.8
[*]CC(CC1CCCC1)[*],333,369.2,14.8
[*]CC(CC1=CC=CC=C1)[*],333,350.9,14.5
[*]CC1=CC=C(C=C1)C[*],333,386.7,6.4
[*]NCCCCCC(=O)[*],335,332.7,8.4
[*]OC(=O)C1=CC=C(C2=CC=CC=C12)C(=O)OCC[*],337,442,5.2
[*]CC(C1=CC=C(C=C1)OCCC)[*],343,329.5,34.6
[*]C(Cl)(C(=O)OCCC)C[*],344,393.4,27
[*]OC(=O)C1=CC=CC2=C(C=CC=C12)C(=O)OCC[*],344,433.5,12
[*]CC(C(C)C(=O))[*],345,426.7,18
[*]CCOC(=O)C1=CC=C(C=C1)C(=O)O[*],345,434,7.4
[*]C(Cl)(C(=O)OC(C)CC)C[*],347,380,14.8
[*]CC(CC1CCCCC1)[*],348,421.9,10.2
[*]CC(C1CCCC1)[*],348,359.5,12.1
[*]CC(Cl)[*],348,423.2,17.8
[*]CC(C)(C(=O)OCC(O)C)[*],349,402.7,12.7
[*]CC(C1=CC=C(C=C1)COC)[*],350,375.7,23.9
[*]CC1=CC=C(C(Cl)=C1)C[*],353,408.7,8.2
[*]CC1=CC=C(C(Br)=C1)C[*],353,429.9,11.2
[*]CC(OC(=O)C)[*],355,409.2,10.2
[*]OC1=CC=C(C=C1)C(=O)OCC[*],355,391.1,6.2
[*]CC(O)[*],358,412.7,10.8
[*]C1=CC=C(C=C1)O[*],358,391.3,13.6
[*]CC(C1=CC=C(C=C1)C(C)CC)[*],359,413.6,26.5
[*]CC(C1=CC=C(C=C1)OCC)[*],359,399.3,25
[*]CC(C)(C(=O)OCCO)[*],359,421.3,12.8
[*]CC(C1=C(C)C=CC(=C1)C(C)(C)C)[*],360,455,7.5
[*]CC(C1=CC=C(C=C1)C(C)C)[*],360,444.3,24.7
[*]C1=CC=C(C=C1)S[*],360,512.5,30.3
[*]CC(C1=CC=C(C=C1)OC)[*],362,439.3,13.2
[*]CC(C1CCCCC1)[*],363,451.1,21.2
[*]CC(C1=C(C)C=C(C=C1)OC)[*],363,466.1,14.9
[*]CC1=CC=C(C(C#N)=C1)C[*],363,476.8,19.5
[*]C(=O)CCCCC(=O)NCC1=CC=CC(=C1)CN[*],363,461.3,10.7
[*]CC(C1=CC(Cl)=C(C=C1))[*],363,530.2,29.9
[*]C(Cl)(C(=O)OC(C)C)C[*],363,397.9,11
[*]C(F)(F)C1=CC=C(C=C1)C(F)(F)[*],363,460.6,8.9
[*]CC(C)(C(=O)OCCCl)[*],365,403.7,8.1
[*][Si](C)(C1CCCCC1)[*],366,452.9,15.1
[*]CC(Cl)(C(=O)OCC)[*],366,548.3,33.6
[*]C(=O)C1=CC=C(C=C1)C(=O)OCC1CCC(CC1)CO[*],368,426.9,5.5
[*]CC(C1=CC(C)=C(C=C1))[*],370,452.3,8.8
[*]CC1=C(C)C=C(C(C)=C1)C[*],373,484.3,5.6
[*]CC(C1=CC=CC=C1)[*],373,438.5,4.2
[*]C1=CC=C(C=C1)C(C)(C)C1=CC=C(C=C1)OCC(O)CO[*],373,457.5,14.4
[*]C(F)(F)C(F)(Cl)[*],373,423.1,8.8
[*]CC(C1=CC=C(C=C1)C)[*],374,491.5,7
[*]CC(C1=C(F)C=C(C(F)=C1))[*],374,469.2,10.5
[*]CC(C1=C(CC)C=C(C=C1))[*],376,433.9,23.9
[*]CC(C1=CC(C)=C(C(C)=C1))[*],377,460.8,2.8
