SMILES,DILI
CNCC[C@@H](Oc1ccccc1C)c2ccccc2,1
CN1CCC[C@@H]1CCO[C@](C)(c2ccccc2)c3ccc(Cl)cc3,0
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,1
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,1
NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c4ccccc4)c5ccccc5,0
CNCC[C@H](Oc1cccc2ccccc12)c3cccs3,1
CNC1(CCCCC1=O)c2ccccc2Cl,0
CC(N)COc1c(C)cccc1C,1
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2,0
CN(C)C(=O)Oc1ccc[n+](C)c1,0
Nc1nc2ccc(OC(F)(F)F)cc2s1,1
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,1
CN(C)CCOC(c1ccccc1)c2ccccc2,0
Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,0
CNCCC=C1c2ccccc2CCc3ccccc13,1
C[C@H](Cc1ccccc1)N(C)CC#C,0
NC(=O)N1c2ccccc2C=Cc3ccccc13,1
CCN(CC)CC(=O)Nc1c(C)cccc1C,0
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,0
CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc3cncs3)Cc4ccccc4,1
CC(=O)OCC[N+](C)(C)C,0
CCCCNc1ccc(cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,0
OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,1
CNC(C)C(O)c1ccccc1,0
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O,0
CC(C)NCC(O)COc1cccc2[nH]ccc12,0
Cc1ccnc2N(C3CC3)c4ncccc4C(=O)Nc12,1
Nc1ccc(cc1)S(=O)(=O)Nc2nccs2,1
CCOC(=O)c1cncn1C(C)c2ccccc2,0
Cn1cnc2n(C)c(=O)n(C)c(=O)c12,0
CS(=O)(=O)Nc1ccc(cc1Oc2ccccc2)N(=O)=O,1
CC(C)NNC(=O)c1ccncc1,1
CN1CCCCC1C(=O)Nc2c(C)cccc2C,0
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,1
O=c1[nH]cnc2[nH]ncc12,1
CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3,1
OC(CCN1CCCCC1)(C2CCCCC2)c3ccccc3,0
OC(=O)c1cn(C2CC2)c3cc(N4CCNCC4)c(F)cc3c1=O,1
Cn1cc[nH]c1=S,1
OC(=O)Cc1ccc(OCC=C)c(Cl)c1,1
CCC1(C(=O)NCNC1=O)c2ccccc2,0
OCC(O)C(O)C(O)C(O)CO,0
O=C(CCNNC(=O)c1ccncc1)NCc2ccccc2,1
CC(=O)Nc1ccc(O)cc1,1
Cc1cc(no1)C(=O)NNCc2ccccc2,1
Fc1c[nH]c(=O)[nH]c1=O,0
NC(=O)NO,1
CCN(CC)C(=S)SSC(=S)N(CC)CC,1
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,0
CN(C)CCOC(c1ccccc1)c2ccccc2C,0
Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,1
Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4-n12,0
NNC(=O)c1ccncc1,1
OCCN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0
CCc1oc2ccccc2c1C(=O)c3cc(Br)c(O)c(Br)c3,1
Cc1oncc1C(=O)Nc2ccc(cc2)C(F)(F)F,1
CC(C)(C(=O)c1cccnc1)c2cccnc2,0
Cc1ncc(CO)c(CO)c1O,0
OC(=O)c1cccnc1,1
COc1cc(NC(C)CCCN)c2ncccc2c1,0
CN1C(c2ccc(Cl)cc2)S(=O)(=O)CCC1=O,1
C[N+]1(C)CCC(C1)OC(=O)C(O)(C2CCCC2)c3ccccc3,0
CNC1(C)C2CCC(C2)C1(C)C,0
COc1ccc(OC)c(c1)C(O)CNC(=O)CN,0
CC(C)NCC(O)c1cc(O)cc(O)c1,0
CN1CC(c2ccccc2)c3cccc(N)c3C1,1
OC(=O)COC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,0
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,0
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc2ccccc2Cl,0
NCCc1ccc(O)c(O)c1,0
Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3,0
CC[N+](C)(C)c1cccc(O)c1,0
CNCCCC1c2ccccc2C=Cc3ccccc13,0
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc3ccccc13)C(C)C,0
CN1C2CC(CC1C3OC23)OC(=O)C(CO)c4ccccc4,0
NC(=N)NCCN1CCCCCCC1,0
CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,0
C[N+]1(C)CCCC(C1)OC(=O)C(O)(c2ccccc2)c3ccccc3,0
COc1ccccc1OCC(O)CO,0
CN1C(=O)OC(C)(C)C1=O,1
CN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3,0
CN(C)CCOC(c1ccc(Cl)cc1)c2ccccn2,0
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0
Clc1ccc(OCC(=O)N2CCN(Cc3ccc4OCOc4c3)CC2)cc1,1
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1
COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4CCCO4,0
COc1ccc2CC3C4CCCCC4(CCN3C)c2c1,0
