SMILES,CH4_permeability
*C*,2.15
*C*,0.389473684
*C*,2.894736842
*C*,13.02631579
*C*,4.5885
*C*,50.54
*C*,46.55
*C*,37.24
*C*,3.25
*CC(*)C,0.435
*CC(*)CC(C)C,17.0
*CC(*)CC(C)C,9.4
*CC(*)CC(C)C,15.0
*CC(*)CC(C)C,9.6
*CC(*)(C)C,0.723684211
*CC(*)(C)C,4.210526316
*CC(*)(C)C,0.6384
*C=CCC*,120.0
*C=CC1CCC(*)C1,2.5
*CC(*)c1ccccc1,0.8
*CC(*)c1ccccc1,2.7
*C(C)=C(*)[Si](C)(C)C,16000.0
*C(C)=C(*)[Si](C)(C)C,4200.0
*C(C)=C(*)[Si](C)(C)C,14500.0
*C(C)=C(*)[Si](C)(C)C,4200.0
*C(C)=C(*)[Si](C)(C)CC,1200.0
*C(C)=C(*)[Si](C)(C)CCC,44.0
*C(C)=C(*)[Si](C)(C)CCCC,17.0
*C(C)=C(*)[Si](C)(C)CCCCCCCC,13.0
*C(C)=C(*)[Si](C)(C)C(C)C,360.0
*C(C)=C(*)[Si](C)(C)c1ccccc1,1.7
*C(C)=C(*)c1ccc([Si](C)(C)C)cc1,200.0
*CC(*)C(=O)OC,0.29
*CC(*)C(=O)OCC,14.9
*CC(*)C(=O)OCCCCCCCCCCCCCC,65.1
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,90.8
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,93.4
*CC(*)(C)C(=O)OC,0.0057
*CC(*)(C)C(=O)OC,0.0059
*CC(*)(C)C(=O)OC,0.0059
*CC(*)C(=O)OCCCCCCCCCC,47.8
*CC(*)F,0.01
*CC(*)(F)F,0.02
*CC(*)(F)F,0.0248
*CC(*)(F)F,0.0114
*CC(*)(F)F,0.0118
*CC(*)(F)F,0.0126
*CC(*)(F)F,0.0152
*CC(*)(F)F,0.0183
*CC(*)(F)F,0.0088
*CC(*)(F)F,0.036
*C(*)(F)F,0.74879
*C(*)(F)F,0.74746
*C(*)(F)F,5.13
*CCC=C(*)Cl,12.89473684
*CC/C=C(/*)C,30.26315789
*CC/C=C(/*)C,84.21052632
*Oc1ccc(*)cc1,3.39
*Oc1c(C)cc(*)cc1C,2.7
*Oc1c(C)cc(*)cc1C,4.3
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,0.96
