SMILES,CO2_permeability
*C*,12.9
*C*,10.9
*C*,10.0
*C*,266.0
*C*,7.315
*C*,2.025462963
*C*,16.0
*C*,16.0
*C*,3.44
*C*,4.5
*C*,13.2
*C*,5.7
*C*,1.12
*C*,2.0
*C*,12.0
*C*,0.361842105
*C*,12.63157895
*C*,48.42105263
*C*,2800.0
*C*,430.0
*C*,2800.0
*C*,430.0
*C*,740.0
*C*,15.0
*C*,12.0
*C*,13.2
*C*,3.39
*C*,0.95
*C*,7.448
*C*,27.93
*C*,4.256
*C*,12.635
*C*,4.27
*C*,1.93
*C*,0.372
*CC(*)C,5.88
*CC(*)C,3.5
*CC(*)C,32.0
*CC(*)C,22.0
*CC(*)C,0.124
*CC(*)C,3.01
*CC(*)C,920.0
*CC(*)C,5.9
*CC(*)C,2.3
*CC(*)C,2.9
*CC(*)C,7.315
*CC(*)C,6.251
*CC(*)C,5.453
*CC(*)CC(C)C,92.6
*CC(*)CC(C)C,128.0
*CC(*)(C)C,5.5
*CC(*)(C)C,520.0
*CC(*)(C)C,13.15789474
*CC(*)(C)C,18.81578947
*CC(*)(C)C,4.655
*C=CCC*,550.0
*C=CCC*,263.1578947
*C=CCC*,292.6
*C=CC1CCC(*)C1,15.4
*CC(*)c1ccccc1,10.5
*CC(*)c1ccccc1,12.6
*CC(*)c1ccccc1,13.0
*CC(*)c1ccccc1,23.3
*CC(*)c1ccccc1,880.0
*CC(*)c1ccccc1,10.5
*CC(*)c1ccccc1,8.0
*CC(*)c1ccccc1,5.8
*CC(*)c1ccccc1,2.9
*CC(*)c1ccccc1,1.5
*CC(*)c1ccccc1,1.0
*CC(*)c1ccccc1,8.778
*CC(*)O,0.001
*CC(*)C#N,0.0018
*CC(*)C#N,0.0005985
*CC(*)(C)C#N,0.002394
*CC(*)OC(C)=O,4.6
*CC(*)OC(=O)c1ccccc1,6.32
*CC(*)OC(=O)C1CCCCC1,8.26
*CC(*)OC(=O)c1ccc(C(C)C)cc1,22.2
*CC(*)OC(=O)c1ccc(C)cc1,6.73
*C(C)=C(*)[Si](C)(C)C,33100.0
*C(C)=C(*)[Si](C)(C)C,18000.0
*C(C)=C(*)[Si](C)(C)C,28100.0
*C(C)=C(*)[Si](C)(C)C,18000.0
*C(C)=C(*)[Si](C)(C)CC,4600.0
*C(C)=C(*)[Si](C)(C)CCC,230.0
*C(C)=C(*)[Si](C)(C)CCCC,100.0
*C(C)=C(*)[Si](C)(C)CCCCCCCC,100.0
*C(C)=C(*)[Si](C)(C)C(C)C,2200.0
*C(C)=C(*)[Si](C)(C)c1ccccc1,37.6
*C(C)=C(*)c1ccc([Si](C)(C)C)cc1,950.0
*CC(*)C(=O)OC,9.58
*CC(*)C(=O)OCC,176.0
*CC(*)C(=O)OCCCCCCCCCCCCCC,297.0
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,428.0
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,404.0
*CC(*)(C)C(=O)OC,0.34
*CC(*)(C)C(=O)OC,0.33
*CC(*)(C)C(=O)OC,0.33
*CC(*)(C)C(=O)OCC,5.0
*CC(*)C(=O)OCCCCCCCCCC,261.0
*CC(*)Cl,0.157
*CC(*)Cl,0.28
*CC(*)Cl,0.12
*CC(*)Cl,0.42
*CC(*)Cl,100.0
*CC(*)Cl,1.5
*CC(*)Cl,0.157
*CC(*)Cl,0.9975
*CC(*)(Cl)Cl,2.9
*CC(*)(Cl)Cl,0.0061
*CC(*)(Cl)Cl,0.011438
*CC(*)(Cl)Cl,0.02926
*C(*)(F)F,4.71
*C(*)(F)F,11.7
*C(*)(F)F,0.05419344
*C(*)(F)F,0.03483864
*C(*)(F)F,0.03483864
*C(*)(F)F,0.00479999
*C(*)(F)F,0.001199998
*C(F)(F)C(*)(F)Cl,0.124
*C(F)(F)C(*)(F)Cl,58.0
*C(F)(F)C(*)(F)Cl,145.0
*C(F)(F)C(*)(F)Cl,0.21014
*C(F)(F)C(*)(F)Cl,0.04788
*CCC=C(*)Cl,25.8
*CCC=C(*)Cl,5.53
*CCC=C(*)Cl,17.0
*CCC=C(*)Cl,74.34210526
*CC/C=C(/*)C,723.6842105
*CC/C=C(/*)C,634.2105263
*CC/C=C(/*)C,526.3157895
*CC/C=C(/*)C,153.0
*CC/C=C(/*)C,103.0
*CC/C=C(/*)C,153.9473684
*CC/C=C(/*)C,290.7894737
*CO*,1.8
*CC(C)O*,0.081
*CC(C)O*,0.87
*CC(C)O*,3.9
*CC(C)O*,10.2
*CC(C)O*,16.8
*CC(C)O*,0.42
*CC(C)O*,0.98
*CC(C)O*,1.57
*Oc1ccc(*)cc1,52.1
*Oc1ccc(*)cc1,75.7
*Oc1ccc(*)cc1,75.7
*Oc1c(C)cc(*)cc1C,50.0
*Oc1c(C)cc(*)cc1C,27.0
*Oc1c(C)cc(*)cc1C,61.0
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,32.0
*CCOC(=O)c1ccc(O*)cc1,0.00067697
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,3.8
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,5.6
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,4.6
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,0.047999904
*CC1CC(*)OCO1,0.16
*CC1CC(*)OC(C)O1,0.52
*CC1CC(*)OC(CCC)O1,3.0
*CC1CC(*)OC(CCC)O1,4.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(C(C)(C)c4cc(C)c(*)c(C)c4)cc3C)cc2)cc1,21.0
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.3
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.7182
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.5985
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.798
*CCOC(=O)c1ccc(C(=O)O*)cc1,150.0
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.56392
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.084673489
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.079952485
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.010508041
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.09
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.0011571
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.16
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.526315789
*CCOC(=O)c1ccc(C(=O)O*)cc1,4.078947368
*CCOC(=O)c1ccc(C(=O)O*)cc1,15.3
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.12
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.15295
*CCOC(=O)c1cccc(C(=O)O*)c1,0.04522
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,0.2793
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,0.1995
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,0.1862
*CCCCCC(=O)O*,288.0
*OC(C)CC(*)=O,0.48
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3ccc(C(*)=O)cc3)c(C)c2)cc1C,19.0
*CCCCCC(=O)N*,5.4e-05
*CCCCCC(=O)N*,3.1e-05
*CCCCCC(=O)N*,0.5
*CCCCCC(=O)N*,0.053
*CCCCCC(=O)N*,16.0
*CCCCCC(=O)N*,0.032
*CCCCCC(=O)N*,0.1596
*CCCCCCCC(=O)N*,0.0021945
*CCCCCCCCCCCC(=O)N*,0.0040565
*NC(CCC(=O)OC)C(*)=O,10.6
