SMILES,He_permeability
*C*,1.77
*C*,0.371
*C*,2.73
*C*,7.71
*C*,4.4
*C*,0.84
*C*,1.144736842
*C*,4.934210526
*C*,15.78947368
*C*,5.28
*C*,1.72
*C*,1.27281
*C*,94.43
*C*,93.1
*C*,87.78
*C*,1.5
*C*,0.497
*CC(*)C,8.89
*CC(*)C,6.82
*CC(*)C,8.75
*CC(*)C,12.0
*CC(*)C,5.2
*CC(*)C,5.28
*CC(*)C,14.231
*CC(*)C,12.103
*CC(*)C,10.374
*CC(*)C,11.704
*CC(*)C,38.0
*CC(*)CC(C)C,103.0
*CC(*)CC(C)C,97.5
*CC(*)(C)C,8.11
*CC(*)(C)C,15.78947368
*CC(*)(C)C,8.421052632
*CC(*)(C)C,6.384
*/C=C/CC*,32.6
*C=CCC*,88.0
*CC(*)c1ccccc1,20.0
*CC(*)c1ccccc1,40.8
*CC(*)c1ccccc1,20.0
*CC(*)O,0.0523
*CC(*)O,0.001
*CC(*)C(C)=O,4.0
*CC(*)OC,20.0
*CC(*)OC(C)=O,10.8
*C(C)=C(*)[Si](C)(C)C,6500.0
*C(C)=C(*)[Si](C)(C)C,5250.0
*C(C)=C(*)[Si](C)(C)C,4100.0
*C(C)=C(*)[Si](C)(C)CC,830.0
*C(C)=C(*)[Si](C)(C)CCC,150.0
*C(C)=C(*)[Si](C)(C)CCCC,62.0
*C(C)=C(*)[Si](C)(C)CCCCCCCC,37.0
*C(C)=C(*)[Si](C)(C)C(C)C,680.0
*C(C)=C(*)[Si](C)(C)c1ccccc1,8.3
*C(C)=C(*)c1ccc([Si](C)(C)C)cc1,270.0
*CC(*)C(=O)OC,12.4
*CC(*)C(=O)OCC,44.0
*CC(*)C(=O)OCCCCCCCCCCCCCC,52.9
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,68.8
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,73.5
*CC(*)(C)C(=O)OC,7.4
*CC(*)(C)C(=O)OC,7.5
*CC(*)(C)C(=O)OC,7.5
*CC(*)C(=O)OCCCCCCCCCC,57.0
*CC(*)F,1.3
*CC(*)Cl,2.83
*CC(*)Cl,4.2
*CC(*)(F)F,1.72
*CC(*)(F)F,1.91
*CC(*)(F)F,1.69
*CC(*)(F)F,1.67
*CC(*)(F)F,1.72
*CC(*)(F)F,1.39
*CC(*)(F)F,1.44
*CC(*)(F)F,1.26
*CC(*)(F)F,3.0
*C(*)(F)F,11.9833
*C(*)(F)F,15.7
*C(*)(F)F,11.9567
*C(F)(F)C(*)(F)Cl,6.82
*CCC=C(*)Cl,5.37
*CC/C=C(/*)C,313.1578947
*CC/C=C(/*)C,276.3157895
*CC/C=C(/*)C,238.1578947
*CC/C=C(/*)C,31.18421053
*CC(CCl)O*,5.5
*Oc1ccc(*)cc1,110.0
*Oc1ccc(*)cc1,76.5
*Oc1c(C)cc(*)cc1C,60.0
*Oc1c(C)cc(*)cc1C,105.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,15.5
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,14.1
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,9.6
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,13.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,10.8
*CC1CC(*)OCO1,1.3
*CC1CC(*)OC(C)O1,2.5
*CC1CC(*)OC(CCC)O1,6.7
*CC1CC(*)OC(CCC)O1,7.6
*Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(C(C)(C)c4cc(C)c(*)c(C)c4)cc3C)cc2)cc1,38.4
*CCOC(=O)c1ccc(C(=O)O*)cc1,1.4
*CCOC(=O)c1ccc(C(=O)O*)cc1,1.4
*CCOC(=O)c1ccc(C(=O)O*)cc1,1.3
*CCOC(=O)c1ccc(C(=O)O*)cc1,700.0
*CCOC(=O)c1ccc(C(=O)O*)cc1,5.394736842
*CCOC(=O)c1ccc(C(=O)O*)cc1,4.342105263
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.95
*CCOC(=O)c1ccc(C(=O)O*)cc1,5.0
*CCOC(=O)c1ccc(C(=O)O*)cc1,13.15789474
*CCOC(=O)c1ccc(C(=O)O*)cc1,4.7
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,1.862
*CCCCCC(=O)O*,29.3
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3cccc(C(*)=O)c3)c(C)c2)cc1C,31.0
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3ccc(C(*)=O)cc3)c(C)c2)cc1C,32.0
*CCCCCC(=O)N*,0.532
*CCCCCCCC(=O)N*,0.15694
*CCCCCCCCCCCC(=O)N*,0.3059
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,3.43
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,3.42
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,3.51
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,3.61
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,1.462686567
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,1.582089552
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,1.671641791
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,1.223880597
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,1.373134328
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,3.492537313
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,1.373134328
*c1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,0.031787
*c1cccc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)c1,9.4
*c1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,71.2
*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,2.7
*C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,3.4
*OC1C(C)(C)C(OC(*)=O)C1(C)C,75.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1.8886
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,15.4
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,14.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,10.7
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1000.0
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(*)=O)c(C)c2)cc1C,43.0
*Oc1ccc(C(=C(Cl)Cl)c2ccc(OC(*)=O)cc2)cc1,13.0
*O[Si](*)(C)C,255.0
*N=P(*)(Oc1ccccc1)Oc1ccccc1,4.65
*CC(*)[Si](C)(C)C,137.0
*CC(*)[Si](C)(C)C,180.0
*C(Cl)=C(*)c1ccccc1,34.8
*C=C(*)C(C)(C)C,810.0
*OC1C(COCC)OC(*)C(OCC)C1OCC,41.0
*OC1C(CO)OC(*)C(O)C1O,0.0007
*c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,6.99
*c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,3.0
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,6.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C(C)C)cc(C(C)(C)c4cc(C(C)C)c(*)c(C(C)C)c4)cc3C(C)C)cc2)cc1,110.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(C4CCC(C(C)(C)c5cc(C)c(*)c(C)c5)CC4C)cc3C)cc2)cc1,48.3
*Oc1c(C)cc(C2CCC(C(C)(C)c3cc(C)c(OC(=O)c4ccc(C(*)=O)cc4)c(C)c3)CC2C)cc1C,148.0
*Oc1ccc(C(C)(C)c2ccc(OC(=O)N(C)c3ccc(S(=O)(=O)c4ccc(N(C)C(*)=O)cc4)cc3)cc2)cc1,6.05
*CC(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1,1.2
*CC(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,1.2
*CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,2.7
*CC(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,3.6
