SMILES,N2_permeability
*C*,0.84
*C*,0.702
*C*,0.859
*C*,170000000.0
*C*,0.28
*C*,0.8
*C*,0.143421053
*C*,0.973684211
*C*,4.0
*C*,210.0
*C*,33.0
*C*,220.0
*C*,33.0
*C*,66.0
*C*,200.0
*C*,33.0
*C*,1.4
*C*,1.1
*C*,0.932
*C*,0.205
*C*,19.418
*C*,18.62
*C*,144.97
*C*,1.4
*C*,0.665
*C*,2.1945
*C*,0.3325
*C*,0.43
*C*,0.27
*C*,0.14
*C*,0.9
*CC(*)C,0.211
*CC(*)C,0.35
*CC(*)C,44.0
*CC(*)C,44.0
*CC(*)C,0.42
*CC(*)C,0.23
*CC(*)C,0.185
*CC(*)C,0.5719
*CC(*)C,0.4788
*CC(*)C,0.4123
*CC(*)C,0.665
*CC(*)C,0.49
*CC(*)CCCC,27000.0
*CC(*)CC(C)C,9.4
*CC(*)CC(C)C,11.0
*CC(*)CC(C)C,6.1
*CC(*)CC(C)C,11.0
*CC(*)CC(C)C,6.4
*CC(*)CC(C)C,12.5
*CC(*)CC(C)C,8.65
*CC(*)(C)C,0.3
*CC(*)(C)C,31.0
*CC(*)(C)C,1.026315789
*CC(*)(C)C,1.671052632
*CC(*)(C)C,0.23142
*/C=C/CC*,19.2
*/C=C/CC*,52.63157895
*C=CCC*,19.07894737
*C=CCC*,13.1404
*C=CC1CCC(*)C1,1.5
*CC(*)c1ccccc1,0.788
*CC(*)c1ccccc1,2.6
*CC(*)c1ccccc1,29.0
*CC(*)c1ccccc1,0.621
*CC(*)c1ccccc1,0.2926
*CC(*)C#N,0.00016
*C(C)=C(*)[Si](C)(C)C,6700.0
*C(C)=C(*)[Si](C)(C)C,4050.0
*C(C)=C(*)[Si](C)(C)C,2500.0
*C(C)=C(*)[Si](C)(C)C,4600.0
*C(C)=C(*)[Si](C)(C)C,5510.0
*C(C)=C(*)[Si](C)(C)C,28000.0
*C(C)=C(*)[Si](C)(C)C,4200.0
*C(C)=C(*)[Si](C)(C)C,4900.0
*C(C)=C(*)[Si](C)(C)C,3400.0
*C(C)=C(*)[Si](C)(C)C,3700.0
*C(C)=C(*)[Si](C)(C)C,2000.0
*C(C)=C(*)[Si](C)(C)CC,490.0
*C(C)=C(*)[Si](C)(C)CC,220.0
*C(C)=C(*)[Si](C)(C)CCC,21.0
*C(C)=C(*)[Si](C)(C)CCC,36.0
*C(C)=C(*)[Si](C)(C)CCCC,8.0
*C(C)=C(*)[Si](C)(C)CCCCCCCC,19.0
*C(C)=C(*)[Si](C)(C)C(C)C,170.0
*C(C)=C(*)[Si](C)(C)c1ccccc1,1.2
*C(C)=C(*)c1ccc([Si](C)(C)C)cc1,100.0
*CC(*)C(=O)OC,0.24
*CC(*)C(=O)OCC,6.46
*CC(*)C(=O)OCCCCCCCCCCCCCC,22.1
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,29.1
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,36.0
*CC(*)(C)C(=O)OC,0.011
*CC(*)(C)C(=O)OC,0.0112
*CC(*)(C)C(=O)OC,0.0112
*CC(*)(C)C(=O)OCC,0.22
*CC(*)C(=O)OCCCCCCCCCC,19.0
*CC(*)F,0.009
*CC(*)Cl,0.0118
*CC(*)Cl,0.043
*CC(*)Cl,0.043
*CC(*)Cl,0.043
*CC(*)Cl,0.043
*CC(*)Cl,0.033
*CC(*)Cl,0.04
*CC(*)Cl,4.0
*CC(*)Cl,0.11
*CC(*)Cl,0.0399
*CC(*)(F)F,0.0223
*CC(*)(Cl)Cl,0.094
*CC(*)(Cl)Cl,0.15
*CC(*)(Cl)Cl,5e-05
*CC(*)(Cl)Cl,0.0009443
*C(*)(F)F,0.88
*C(*)(F)F,1.4
*C(F)(F)C(*)(F)Cl,0.005
*C(F)(F)C(*)(F)Cl,8.6
*C(F)(F)C(*)(F)Cl,18.0
*C(F)(F)C(*)(F)Cl,0.35
*C(F)(F)C(*)(F)Cl,0.016
*C(F)(F)C(*)(F)Cl,0.01995
*C(F)(F)C(*)(F)Cl,0.009044
*CCC=C(*)Cl,1.2
*CCC=C(*)Cl,0.8
*CCC=C(*)Cl,0.8
*CCC=C(*)Cl,4.671052632
*CC/C=C(/*)C,89.34210526
*CC/C=C(/*)C,78.94736842
*CC/C=C(/*)C,73.55263158
*CC/C=C(/*)C,9.43
*CC/C=C(/*)C,8.1
*CC/C=C(/*)C,4.93
*CC/C=C(/*)C,9.473684211
*CC/C=C(/*)C,25.52631579
*CC(CCl)O*,0.44
*Oc1ccc(*)cc1,3.35
*Oc1ccc(*)cc1,3.81
*Oc1ccc(*)cc1,3.16
*Oc1c(C)cc(*)cc1C,2.6
*Oc1c(C)cc(*)cc1C,3.81
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,0.88
*CCOC(=O)c1ccc(O*)cc1,9.11e-06
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,0.33
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,0.141
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,0.25
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,0.2
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.00673
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.00645
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.013
*CCOC(=O)c1ccc(C(=O)O*)cc1,220.0
*CCOC(=O)c1ccc(C(=O)O*)cc1,5.11e-05
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.005
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.025
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.302631579
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.5
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.5
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.0022
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.016
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.005054
*CCCCCC(=O)O*,9.51
*CCCCCC(=O)N*,4e-06
*CCCCCC(=O)N*,2e-06
*CCCCCC(=O)N*,1.0
*CCCCCC(=O)N*,0.0028
*CCCCCC(=O)N*,0.009975
*CCCCCCCC(=O)N*,0.0015694
*CCCCCCCCCCCC(=O)N*,0.0020349
*NC(CCC(=O)OC)C(*)=O,0.23
*NC(CCC(=O)OCc1ccccc1)C(*)=O,0.06
*NC(CCC(=O)O)C(*)=O,0.0001
*NC(CC(C)C)C(*)=O,1.92
*NC(CCCCNC(=O)OCc1ccccc1)C(*)=O,0.003
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.02
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.0191
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.0117
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.0218
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.1
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.011641791
