SMILES,O2_permeability
*C*,3.4
*C*,0.216
*C*,0.47
*C*,0.97
*C*,0.0413
*C*,0.792
*C*,0.0542
*C*,2.29
*C*,0.05
*C*,2.1
*C*,5.5
*C*,0.609161793
*C*,550.0
*C*,5.0
*C*,2.71
*C*,3.724
*C*,2.3
*C*,2.3
*C*,1.2
*C*,0.405263158
*C*,2.894736842
*C*,11.31578947
*C*,690.0
*C*,110.0
*C*,690.0
*C*,110.0
*C*,210.0
*C*,4.7
*C*,3.3
*C*,2.88
*C*,0.705
*C*,4.2
*C*,2.1014
*C*,6.916
*C*,1.1039
*C*,0.657894737
*C*,2.763157895
*C*,1.3
*C*,1.2
*C*,0.539
*C*,0.098
*C*,3.0
*CC(*)C,1.0
*CC(*)C,1.56
*CC(*)C,0.72
*CC(*)C,0.93
*CC(*)C,1.03
*CC(*)C,0.358
*CC(*)C,0.282
*CC(*)C,0.453
*CC(*)C,0.592
*CC(*)C,0.487
*CC(*)C,0.61
*CC(*)C,1.11
*CC(*)C,0.98
*CC(*)C,1.0
*CC(*)C,1.0
*CC(*)C,229.0
*CC(*)C,1.7
*CC(*)C,0.99
*CC(*)C,0.879
*CC(*)C,2.261
*CC(*)C,1.995
*CC(*)C,1.729
*CC(*)C,2.394
*CC(*)C,2.0
*CC(*)C,1.447368421
*CC(*)CCCC,72000.0
*CC(*)CC(C)C,34.0
*CC(*)CC(C)C,22.0
*CC(*)CC(C)C,25.0
*CC(*)CC(C)C,44.0
*CC(*)CC(C)C,24.0
*CC(*)CC(C)C,33.5
*CC(*)CC(C)C,28.9
*CC(*)CC(C)C,23.68421053
*CC(*)(C)C,130.0
*CC(*)(C)C,3.421052632
*CC(*)(C)C,5.302631579
*CC(*)(C)C,0.6384
*CC(*)(C)C,8.947368421
*C=CCC*,47.36842105
*C=CCC*,36.575
*C=CCC*,22.36842105
*C=CC1CCC(*)C1,2.8
*CC(*)c1ccccc1,2.63
*CC(*)c1ccccc1,2.2211
*CC(*)c1ccccc1,7.47
*CC(*)c1ccccc1,110.0
*CC(*)c1ccccc1,2.38
*CC(*)c1ccccc1,2.5
*CC(*)c1ccccc1,1.1039
*CC(*)c1ccccc1,2.5
*CC(*)O,0.00195
*CC(*)O,14.8
*CC(*)O,39.2
*CC(*)O,53.2
*CC(*)O,70.4
*CC(*)O,79.0
*CC(*)O,54.1
*CC(*)O,61.8
*CC(*)O,76.8
*CC(*)O,10.0
*CC(*)O,1.62
*CC(*)O,1.05e-06
*CC(*)C#N,0.00028
*CC(*)C#N,0.004921
*CC(*)C#N,0.0001463
*CC(*)C#N,0.000197368
*CC(*)(C)C#N,0.0009044
*CC(*)OC(C)=O,1.0773
*CC(*)OC(C)=O,0.27
*CC(*)OC(C)=O,0.355263158
*C(C)=C(*)[Si](C)(C)C,10000.0
*C(C)=C(*)[Si](C)(C)C,6980.0
*C(C)=C(*)[Si](C)(C)C,4000.0
*C(C)=C(*)[Si](C)(C)C,7850.0
*C(C)=C(*)[Si](C)(C)C,7850.0
*C(C)=C(*)[Si](C)(C)C,3750.0
*C(C)=C(*)[Si](C)(C)C,1300.0
*C(C)=C(*)[Si](C)(C)C,1380.0
*C(C)=C(*)[Si](C)(C)C,1010.0
*C(C)=C(*)[Si](C)(C)C,7200.0
*C(C)=C(*)[Si](C)(C)C,8300.0
*C(C)=C(*)[Si](C)(C)C,6100.0
*C(C)=C(*)[Si](C)(C)C,6300.0
*C(C)=C(*)[Si](C)(C)C,4000.0
*C(C)=C(*)[Si](C)(C)CC,970.0
*C(C)=C(*)[Si](C)(C)CC,500.0
*C(C)=C(*)[Si](C)(C)CCC,70.0
*C(C)=C(*)[Si](C)(C)CCC,100.0
*C(C)=C(*)[Si](C)(C)CCCC,29.0
*C(C)=C(*)[Si](C)(C)CCCCCCCC,23.0
*C(C)=C(*)[Si](C)(C)C(C)C,460.0
*C(C)=C(*)[Si](C)(C)c1ccccc1,4.4
*C(C)=C(*)c1ccc([Si](C)(C)C)cc1,240.0
*CC(*)N1CCCC1=O,0.01995
*CC(*)C(=O)OC,1.06
*CC(*)C(=O)OCC,19.0
*CC(*)C(=O)OCCCCCCCCCCCCCC,57.1
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,75.0
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,76.3
*CC(*)(C)C(=O)OC,0.38703
*CC(*)(C)C(=O)OC,0.08
*CC(*)(C)C(=O)OC,0.811
*CC(*)(C)C(=O)OC,0.951
*CC(*)(C)C(=O)OC,0.115
*CC(*)(C)C(=O)OC,0.1
*CC(*)(C)C(=O)OC,0.84
*CC(*)(C)C(=O)OC,0.84
*CC(*)(C)C(=O)OCC,1.15
*CC(*)(C)C(=O)OCCO,3.62
*CC(*)(C)C(=O)OCCO,4.41
*CC(*)(C)C(=O)OCCO,4.91
*CC(*)(C)C(=O)OCCO,6.82
*CC(*)(C)C(=O)OCCO,7.24
*CC(*)C(=O)OCCCCCCCCCC,47.6
*CC(*)F,0.04
*CC(*)Cl,0.0453
*CC(*)Cl,0.14
*CC(*)Cl,0.14
*CC(*)Cl,0.14
*CC(*)Cl,0.14
*CC(*)Cl,0.08
*CC(*)Cl,0.05
*CC(*)Cl,12.0
*CC(*)Cl,0.31
*CC(*)Cl,0.1197
*CC(*)Cl,0.047368421
*CC(*)(F)F,0.0826
*CC(*)(F)F,0.023684211
*CC(*)(Cl)Cl,0.53
*CC(*)(Cl)Cl,0.00016
*CC(*)(Cl)Cl,0.007847
*CC(*)(Cl)Cl,0.00532
*CC(*)(Cl)Cl,0.003026316
*CC(*)(Cl)Cl,0.00047
*C(*)(F)F,4.2
*C(F)(F)C(*)(F)Cl,57.4
*C(F)(F)C(*)(F)Cl,0.11
*C(F)(F)C(*)(F)Cl,0.09177
*C(F)(F)C(*)(F)Cl,0.025004
*C(F)(F)C(*)(F)Cl,0.018421053
*CCC=C(*)Cl,4.0
*CCC=C(*)Cl,3.0
*CCC=C(*)Cl,13.28947368
*CC/C=C(/*)C,100.2631579
*CC/C=C(/*)C,80.52631579
*CC/C=C(/*)C,67.76315789
*CC/C=C(/*)C,23.3
*CC/C=C(/*)C,24.0
*CC/C=C(/*)C,23.42105263
*CC/C=C(/*)C,61.84210526
*CO*,0.089473684
*CC(CCl)O*,1.05
*Oc1ccc(*)cc1,15.8
*Oc1ccc(*)cc1,17.8
*Oc1c(C)cc(*)cc1C,12.0
*Oc1c(C)cc(*)cc1C,16.8
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,4.3
*CCOCCOC(=O)c1cccc(C(=O)O*)c1,0.022082115
*CCOC(=O)c1ccc(O*)cc1,0.00031787
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,1.81
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,0.97
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,1.4
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,1.2
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,0.03096768
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,0.03096768
*CC(O)COc1ccc(Cc2ccc(O*)cc2)cc1,0.024774144
*CC(O)COc1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,0.012387072
*CC(O)COc1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,0.011999976
*CC1CC(*)OC(CCC)O1,0.70091
*CC(O)COc1ccc(O*)cc1,0.002999994
*CC(O)COc1ccc(C2CC(C(C)C)CCC2(C)c2ccc(O*)cc2)cc1,0.44903136
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(C)=O,0.253934976
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)CCl,0.049548288
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)CC,0.291096192
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1,0.18580608
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1Cl,0.055741824
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)c(Cl)c2)cc1Cl,0.018193512
*CC(O)COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl,0.024774144
*CC(O)COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl,0.023999952
*CC(COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl)OC(C)=O,0.130064256
*CC(O)COc1ccc(C(C)(CC)c2ccc(O*)cc2)cc1,0.047999904
*CC(O)COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1,0.049548288
*CC(O)COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1,0.049548288
*CC(COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1)OC(C)=O,0.1548384
*CC(COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1,0.12387072
*CC(COc1ccc(O*)cc1)OC(C)=O,0.018580608
*CC(O)COc1ccc(C2CCCC(CC)(c3ccc(O*)cc3)C2)cc1,0.09290304
*CC(O)COc1ccc(C2CCCC(CC)(c3ccc(O*)cc3)C2)cc1,0.09290304
*CC(COc1ccc(C2CCCC(CC)(c3ccc(O*)cc3)C2)cc1)OC(C)=O,0.253934976
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,83.0
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,84.0
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,63.0
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,46.0
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,43.0
*CCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,0.004842836
